"Species_name_orig" "Region_name_orig" "Group" "Code" "Taxon_group"
"191" "Rhinella marina" "New South Wales" "Amphibia" "NSW-NS" "Amphibians; Reptiles"
"192" "Rhinella marina" "Northern Territory" "Amphibia" "NTA-OO" "Amphibians; Reptiles"
"193" "Ranoidea aurea" "New Caledonia" "Amphibia" "NWC-OO" "Amphibians; Reptiles"
"194" "Rhinella marina" "Papua New Guinea" "Amphibia" "NWG-PN" "Amphibians; Reptiles"
"195" "Necturus maculosus" "New Hampshire" "Amphibia" "NWH-OO" "Amphibians; Reptiles"
"196" "Dryophytes gratiosus" "New Jersey" "Amphibia" "NWJ-OO" "Amphibians; Reptiles"
"197" "Lithobates catesbeianus" "New Mexico" "Amphibia" "NWM-OO" "Amphibians; Reptiles"
"198" "Pseudotriton ruber" "Ontario" "Amphibia" "ONT-OO" "Amphibians; Reptiles"
"199" "Lithobates catesbeianus" "Oregon" "Amphibia" "ORE-OO" "Amphibians; Reptiles"
"200" "Eleutherodactylus antillensis" "Panama" "Amphibia" "PAN-OO" "Amphibians; Reptiles"
"201" "Eleutherodactylus johnstonei" "Panama" "Amphibia" "PAN-OO" "Amphibians; Reptiles"
"202" "Hoplobatrachus rugulosus" "Philippines" "Amphibia" "PHI-OO" "Amphibians; Reptiles"
"203" "Hylarana erythraea" "Philippines" "Amphibia" "PHI-OO" "Amphibians; Reptiles"
"204" "Kaloula pulchra" "Philippines" "Amphibia" "PHI-OO" "Amphibians; Reptiles"
"205" "Rhinella marina" "Philippines" "Amphibia" "PHI-OO" "Amphibians; Reptiles"
"206" "Xenopus laevis" "Portugal (mainland)" "Amphibia" "POR-OO" "Amphibians; Reptiles"
"207" "Dryophytes cinereus" "Puerto Rico" "Amphibia" "PUE-OO" "Amphibians; Reptiles"
"208" "Lithobates catesbeianus" "Puerto Rico" "Amphibia" "PUE-OO" "Amphibians; Reptiles"
"209" "Lithobates grylio" "Puerto Rico" "Amphibia" "PUE-OO" "Amphibians; Reptiles"
"210" "Rhinella marina" "Puerto Rico" "Amphibia" "PUE-OO" "Amphibians; Reptiles"
"211" "Scinax ruber" "Puerto Rico" "Amphibia" "PUE-OO" "Amphibians; Reptiles"
"212" "Osteopilus septentrionalis" "Puerto Rico" "Amphibia" "PUE-OO" "Amphibians; Reptiles"
"213" "Rhinella marina" "Queensland" "Amphibia" "QLD-QU" "Amphibians; Reptiles"
"214" "Sclerophrys gutturalis" "Reunion" "Amphibia" "REU-OO" "Amphibians; Reptiles"
"215" "Ptychadena mascareniensis" "Reunion" "Amphibia" "REU-OO" "Amphibians; Reptiles"
"216" "Necturus maculosus" "Rhode Island" "Amphibia" "RHO-OO" "Amphibians; Reptiles"
"217" "Lithobates catesbeianus" "Russia" "Amphibia" "Russia" "Amphibians; Reptiles"
"218" "Rhinella marina" "American Samoa" "Amphibia" "SAM-AS" "Amphibians; Reptiles"
"219" "Pelophylax kl. esculentus" "Italy (Sardinia)" "Amphibia" "SAR-OO" "Amphibians; Reptiles"
"220" "Pelophylax lessonae" "Italy (Sardinia)" "Amphibia" "SAR-OO" "Amphibians; Reptiles"
"221" "Ptychadena mascareniensis" "Seychelles" "Amphibia" "SEY-OO" "Amphibians; Reptiles"
"222" "Pelophylax bedriagae" "Malta" "Amphibia" "SIC-MA" "Amphibians; Reptiles"
"223" "Xenopus laevis" "Italy (Sicily)" "Amphibia" "SIC-SI" "Amphibians; Reptiles"
"224" "Ommatotriton ophryticus" "Spain (mainland)" "Amphibia" "SPA-SP" "Amphibians; Reptiles"
"225" "Pelophylax lessonae" "Spain (mainland)" "Amphibia" "SPA-SP" "Amphibians; Reptiles"
"226" "Pelophylax ridibundus" "Spain (mainland)" "Amphibia" "SPA-SP" "Amphibians; Reptiles"
"227" "Discoglossus pictus" "Spain (mainland)" "Amphibia" "SPA-SP" "Amphibians; Reptiles"
"228" "Lithobates catesbeianus" "Sri Lanka" "Amphibia" "SRL-OO" "Amphibians; Reptiles"
"229" "Bombina variegata" "Sweden" "Amphibia" "SWE-OO" "Amphibians; Reptiles"
"230" "Pelophylax ridibundus" "Switzerland" "Amphibia" "SWI-OO" "Amphibians; Reptiles"
"231" "Rhinella marina" "Taiwan" "Amphibia" "TAI-OO" "Amphibians; Reptiles"
"232" "Kaloula pulchra" "Taiwan" "Amphibia" "TAI-OO" "Amphibians; Reptiles"
"233" "Lithobates catesbeianus" "Taiwan" "Amphibia" "TAI-OO" "Amphibians; Reptiles"
"234" "Osteopilus septentrionalis" "Turks and Caicos Islands" "Amphibia" "TCI-OO" "Amphibians; Reptiles"
"235" "Rhinella marina" "Turks and Caicos Islands" "Amphibia" "TCI-OO" "Amphibians; Reptiles"
"236" "Lithobates catesbeianus" "Thailand" "Amphibia" "THA-OO" "Amphibians; Reptiles"
"237" "Eleutherodactylus johnstonei" "Trinidad and Tobago" "Amphibia" "TRT-OO" "Amphibians; Reptiles"
"238" "Rhinella marina" "Tuvalu" "Amphibia" "TUV-OO" "Amphibians; Reptiles"
"239" "Lithobates catesbeianus" "Tadjikistan" "Amphibia" "TZK-OO" "Amphibians; Reptiles"
"240" "Lithobates catesbeianus" "United Kingdom" "Amphibia" "United Kingdom" "Amphibians; Reptiles"
"241" "Pelophylax ridibundus" "United Kingdom" "Amphibia" "United Kingdom" "Amphibians; Reptiles"
"242" "Ichthyosaura alpestris" "United Kingdom" "Amphibia" "United Kingdom" "Amphibians; Reptiles"
"243" "Xenopus laevis" "United Kingdom" "Amphibia" "United Kingdom" "Amphibians; Reptiles"
"244" "Alytes obstetricans" "United Kingdom" "Amphibia" "United Kingdom" "Amphibians; Reptiles"
"245" "Triturus carnifex" "United Kingdom" "Amphibia" "United Kingdom" "Amphibians; Reptiles"
"246" "Pelophylax perezi" "United Kingdom" "Amphibia" "United Kingdom" "Amphibians; Reptiles"
"247" "Lithobates catesbeianus" "Uruguay" "Amphibia" "URU-OO" "Amphibians; Reptiles"
"248" "Lithobates berlandieri" "Utah" "Amphibia" "UTA-OO" "Amphibians; Reptiles"
"249" "Lithobates catesbeianus" "Utah" "Amphibia" "UTA-OO" "Amphibians; Reptiles"
"250" "Lithobates clamitans" "Utah" "Amphibia" "UTA-OO" "Amphibians; Reptiles"
"251" "Ranoidea aurea" "Vanuatu" "Amphibia" "VAN-OO" "Amphibians; Reptiles"
"252" "Eleutherodactylus johnstonei" "Venezuela" "Amphibia" "VEN-OO" "Amphibians; Reptiles"
"253" "Lithobates catesbeianus" "Venezuela" "Amphibia" "VEN-OO" "Amphibians; Reptiles"
"254" "Lissotriton vulgaris" "Victoria" "Amphibia" "VIC-OO" "Amphibians; Reptiles"
"255" "Ranoidea aurea" "Wallis and Futuna" "Amphibia" "WAL-OO" "Amphibians; Reptiles"
"256" "Lithobates catesbeianus" "Washington" "Amphibia" "WAS-OO" "Amphibians; Reptiles"
"257" "Lithobates clamitans" "Washington" "Amphibia" "WAS-OO" "Amphibians; Reptiles"
"258" "Rhinella marina" "Western Australia" "Amphibia" "WAU-WA" "Amphibians; Reptiles"
"259" "Rhinella marina" "Barbados" "Amphibia" "WIN-BA" "Amphibians; Reptiles"
"260" "Eleutherodactylus martinicensis" "Dominica" "Amphibia" "WIN-DO" "Amphibians; Reptiles"
"261" "Rhinella marina" "Grenada" "Amphibia" "WIN-GR" "Amphibians; Reptiles"
"262" "Eleutherodactylus johnstonei" "Martinique" "Amphibia" "WIN-MA" "Amphibians; Reptiles"
"263" "Rhinella marina" "Martinique" "Amphibia" "WIN-MA" "Amphibians; Reptiles"
"264" "Scinax ruber" "Martinique" "Amphibia" "WIN-MA" "Amphibians; Reptiles"
"265" "Scinax x-signatus" "Martinique" "Amphibia" "WIN-MA" "Amphibians; Reptiles"
"266" "Rhinella marina" "Saint Lucia" "Amphibia" "WIN-SL" "Amphibians; Reptiles"
"267" "Scinax ruber" "Saint Lucia" "Amphibia" "WIN-SL" "Amphibians; Reptiles"
"268" "Eleutherodactylus planirostris" "Saint Vincent and the Grenadines" "Amphibia" "WIN-SV" "Amphibians; Reptiles"
"269" "Rhinella marina" "Saint Vincent and the Grenadines" "Amphibia" "WIN-SV" "Amphibians; Reptiles"
